Layer,Feature,What It Does,Built With,Status,Where to See It,Needs to Go Live
AI Brain,Ad Creative Generation,"Claude writes 10 ad creatives (headline + body) per project per platform (Meta / Google / 99acres). One button click.",Claude Sonnet 4.5 via Anthropic SDK,Built — needs ANTHROPIC_API_KEY,Projects → Creatives → Generate 10 Creatives,ANTHROPIC_API_KEY in .env
AI Brain,Social Post Generation,"Claude writes 30 days of Instagram/Facebook/LinkedIn/Twitter captions + hashtags per project. Themes: lifestyle / amenity / offer / testimonial / trust.",Claude Sonnet 4.5 via Anthropic SDK,Built — needs ANTHROPIC_API_KEY,Social Calendar → Generate 30 posts,ANTHROPIC_API_KEY in .env
Voice AI,Hinglish Voice Agent,"Bolna auto-dials new leads within 60 seconds of form fill. Speaks Hinglish. Qualifies intent + budget + timeline. Updates lead status and score via webhook.",Bolna API,Built — needs BOLNA_API_KEY + BOLNA_AGENT_ID + BOLNA_FROM_NUMBER,Pipeline → Call button on any lead card,"BOLNA_API_KEY, BOLNA_AGENT_ID, BOLNA_FROM_NUMBER in .env"
Voice AI,Call Transcript & Scoring,Every call transcript is stored. Claude score delta applied. Full transcript visible in lead detail timeline.,Bolna webhook → Supabase,Built — works automatically after voice config,Pipeline → click a lead → Conversation Timeline,Bolna webhook URL pointed at /api/voice/webhook
WhatsApp,Template Message Dispatch,"Sends Meta-approved WhatsApp template to lead after qualification. Tracks delivered / read / replied status.",AiSensy API,Built — needs AISENSY_API_KEY + AISENSY_SENDER_ID,Lead Detail → message bubbles,"AISENSY_API_KEY, AISENSY_SENDER_ID in .env + approved template in AiSensy"
WhatsApp,Inbound Reply Handling,"When a lead replies on WhatsApp, the reply is logged and lead status auto-updated.",AiSensy webhook → Supabase,Built — needs webhook config,Lead Detail → message bubbles,AiSensy webhook pointed at /api/messaging/whatsapp-webhook
Email,Drip Email Sequences,"Brevo sends personalised HTML email drip (subject + body written by Claude) after lead qualifies. Tracks delivered / opened.",Brevo (Sendinblue) API,Built — needs BREVO_API_KEY,Lead Detail → message bubbles,"BREVO_API_KEY, BREVO_SENDER_EMAIL in .env"
CRM,Lead Pipeline (Kanban),"Full lead lifecycle: new → contacted → qualified → site visit booked → visited → negotiating → closed won/lost. Kanban board + table view. 30-second auto-refresh.",Supabase Postgres + Next.js,Live (no third-party key needed),Pipeline — default view (Board tab),—
CRM,Lead Detail + Timeline,"Per-lead view: call transcripts, WhatsApp/email bubbles, status history. Action panel to update status / pause drip / add notes.",Supabase + Next.js,Live,Pipeline → click any lead card,—
CRM,Lead Scoring,0–100 score per lead. Updated after each call and interaction. Visible on kanban cards and lead table.,Supabase + Claude via voice webhook,Live — scoring fires automatically,Pipeline (score badge on each card),—
CRM,Bulk Lead Upload,"Upload CSV (name, phone, email, project, source). Validates + deduplicates. Auto-triggers voice call + drip for each row.",Next.js API + Supabase,Live,Bulk Upload page,—
Ads,Meta Campaign Launch,"Publish a generated creative to Meta Ads Manager via Marketing API. Campaign created PAUSED for review. External campaign ID stored.",Meta Marketing API v20,Built — needs META_ACCESS_TOKEN + META_AD_ACCOUNT_ID,Ad Engine → creative card → Launch on Meta,"META_ACCESS_TOKEN, META_AD_ACCOUNT_ID, META_PAGE_ID in .env"
Ads,Campaign Tracking,"All campaigns (Meta / Google / 99acres): status, daily budget, leads acquired, start date. Filter by platform.",Supabase campaigns table,Live,Ad Engine (Campaigns page),—
Social,Post Approval & Scheduling,"Review Claude-generated draft posts. Approve individually or all at once. Approved posts pushed to Ayrshare for scheduled publishing.",Ayrshare API (Postiz as fallback),Built — needs AYRSHARE_API_KEY,Social Calendar → Approve button,"AYRSHARE_API_KEY in .env, social accounts connected in Ayrshare dashboard"
Landing Pages,Public Project Pages,"Auto-generated public landing page per project at /p/[slug]. Project details, price, RERA, lead capture form. Every form fill triggers the full pipeline.",Next.js 14 App Router,Live — 3 layout variants (luxury / premium / mid),Projects → Landing button (if public_slug set),—
Analytics,Pipeline Funnel,"Proportional bar chart showing lead counts at each stage. Shows stage-to-stage conversion rate. Identifies drop-off points.",Supabase aggregation (no external service),Live,Analytics page,—
Analytics,Lead Source Attribution,"Which source (Meta / Google / 99acres / organic) brings the most leads and highest avg score in the last 30 days.",Supabase aggregation,Live,Analytics page,—
Analytics,Voice Performance,"Total calls, connection rate, qualification rate, avg call duration, outcome breakdown (qualified / no_answer / not_qualified / callback / wrong_number).",Supabase call_logs aggregation,Live — data appears after first calls are made,Analytics page,—
Analytics,Messaging Stats,"WhatsApp and email: sent count, delivery rate %, read rate %.",Supabase messages aggregation,Live,Analytics page,—
Analytics,Social Performance,Posts by platform. Draft / scheduled / posted breakdown. Campaign leads by platform.,Supabase aggregation,Live,Analytics page,—
Client Portal,Developer Client Portal,"Read-only branded dashboard for each real estate developer at /portal/[slug]. Pipeline, call summaries, project stats. OTP login for the client.",Next.js + Supabase Auth,Live,/portal/[client-slug],Add client email to clients.portal_allowed_emails in Supabase
Auth,Operator OTP Login,"Admin dashboard login via email OTP. Enter email → 6-digit code → session created. No passwords.",Supabase Auth,Live,/login,—
System,Health Monitor,"Event log (last 24h), stuck leads (new status > 30 min), recent errors from all integrations.",Supabase events table,Live,Health page,—
